raceId,year,url_gp,weather_raw
349,2010,http://en.wikipedia.org/wiki/2010_Belgian_Grand_Prix,Intermittent rain
351,2010,http://en.wikipedia.org/wiki/2010_Singapore_Grand_Prix,"Clear; Air temp 29 to 30 °C (84 to 86 °F), Track temp 31 °C (88 °F)[5][6]"
350,2010,http://en.wikipedia.org/wiki/2010_Italian_Grand_Prix,Sunny
352,2010,http://en.wikipedia.org/wiki/2010_Japanese_Grand_Prix,Sunny
343,2010,http://en.wikipedia.org/wiki/2010_Turkish_Grand_Prix,Air: 28 to 29 °C (82 to 84 °F) Track: 39 to 49 °C (102 to 120 °F)
354,2010,http://en.wikipedia.org/wiki/2010_Brazilian_Grand_Prix,Clear; 25 °C (77 °F)
355,2010,http://en.wikipedia.org/wiki/2010_Abu_Dhabi_Grand_Prix,"Dry[3]
Air Temp 28 °C (82 °F)[3]

Track Temp 33 °C (91 °F) dropping to 29 °C (84 °F)[3]"
348,2010,http://en.wikipedia.org/wiki/2010_Hungarian_Grand_Prix,Mainly sunny28 °C (82 °F)[1]
353,2010,http://en.wikipedia.org/wiki/2010_Korean_Grand_Prix,"Rain. Air 20 °C (68 °F), Track 18 °C (64 °F)"
347,2010,http://en.wikipedia.org/wiki/2010_German_Grand_Prix,"Mainly cloudy, dry[4]"
340,2010,http://en.wikipedia.org/wiki/2010_Chinese_Grand_Prix,"Cloudy, rain"
345,2010,http://en.wikipedia.org/wiki/2010_European_Grand_Prix,Dry[3]
344,2010,http://en.wikipedia.org/wiki/2010_Canadian_Grand_Prix,Warm with temperatures approaching 26 °C (79 °F); wind speeds up to 4.9 kilometres per hour (3.0 mph)[1]
337,2010,http://en.wikipedia.org/wiki/2010_Bahrain_Grand_Prix,Sunny
342,2010,http://en.wikipedia.org/wiki/2010_Monaco_Grand_Prix,"Mainly cloudy, dry"
341,2010,http://en.wikipedia.org/wiki/2010_Spanish_Grand_Prix,"Mainly cloudy, dry"
339,2010,http://en.wikipedia.org/wiki/2010_Malaysian_Grand_Prix,"Mainly cloudy, dry"
338,2010,http://en.wikipedia.org/wiki/2010_Australian_Grand_Prix,Overcast with light rain at start
346,2010,http://en.wikipedia.org/wiki/2010_British_Grand_Prix,Mainly sunny
852,2011,http://en.wikipedia.org/wiki/2011_Belgian_Grand_Prix,"Cloudy, dry"
853,2011,http://en.wikipedia.org/wiki/2011_Italian_Grand_Prix,Mainly sunny
854,2011,http://en.wikipedia.org/wiki/2011_Singapore_Grand_Prix,"Hot and humid

Air Temp 31 °C (88 °F)[1]"
858,2011,http://en.wikipedia.org/wiki/2011_Abu_Dhabi_Grand_Prix,"Fine and Dry

Air Temp 25 °C (77 °F)[1]"
856,2011,http://en.wikipedia.org/wiki/2011_Korean_Grand_Prix,"Dry, light rain at the start

Air Temp 21 °C (70 °F)[2]"
